"","ID","Filial","Cidade","Tipo de consumidor","Gênero","Linha de produto","Preço Unitário","Quantidade","Imposto","Total","Data","Hora","Pagamento","Porcentagem de renda","Avaliação"
"1","750-67-8428","A","Yangon","Membro","Feminino","Saúde e beleza",396.6039,7,1388.11365,3037.6423,"01/05/2019","13:08","Carteira eletrônica",261.415,9.1
"2","226-31-3081","C","Naypyitaw","Normal","Feminino","Acessórios eletrônicos",81.1368,5,20.2842,409.504,"03/08/2019","10:29","Dinheiro",3.82,9.6
"3","631-41-3108","A","Yangon","Normal","Masculino","Lar e estilo de vida",246.0123,7,861.04305,1884.2411,"03/03/2019","13:23","Cartão de crédito",162.155,7.4
"4","123-19-1176","A","Yangon","Membro","Masculino","Saúde e beleza",309.1482,8,123.65928,2496.4736,"1/27/2019","20:33","Carteira eletrônica",23.288,8.4
"5","373-73-7910","A","Yangon","Normal","Masculino","Viagens e sports",458.3061,7,1604.07135,3510.2277,"02/08/2019","10:37","Carteira eletrônica",302.085,5.3
"6","699-14-3026","C","Naypyitaw","Normal","Masculino","Acessórios eletrônicos",453.4209,7,1586.97315,3472.8113,"3/25/2019","18:30","Carteira eletrônica",298.865,4.1
"7","355-53-5943","A","Yangon","Membro","Feminino","Acessórios eletrônicos",365.5404,6,109.66212,2213.8944,"2/25/2019","14:36","Carteira eletrônica",20.652,5.8
"8","315-22-5665","C","Naypyitaw","Normal","Feminino","Lar e estilo de vida",390.6036,10,195.3018,3942.816,"2/24/2019","11:38","Carteira eletrônica",36.78,8
"9","665-32-9167","A","Yangon","Membro","Feminino","Saúde e beleza",192.5406,2,19.25406,388.7072,"01/10/2019","17:15","Cartão de crédito",3.626,7.2
"10","692-92-5582","B","Mandalay","Membro","Feminino","Acessórios de moda",291.2004,3,43.68006,881.8272,"2/20/2019","13:27","Cartão de crédito",8.226,5.9
"11","351-62-0822","B","Mandalay","Membro","Feminino","Acessórios de moda",76.8888,4,15.37776,310.4512,"02/06/2019","18:07","Carteira eletrônica",2.896,4.5
"12","529-56-3974","B","Mandalay","Membro","Masculino","Acessórios eletrônicos",135.4581,4,27.09162,546.9344,"03/09/2019","17:03","Dinheiro",5.102,6.8
"13","365-64-0515","A","Yangon","Normal","Feminino","Acessórios eletrônicos",249.3045,5,623.26125,1363.8975,"02/12/2019","10:25","Carteira eletrônica",117.375,7.1
"14","252-56-2699","A","Yangon","Normal","Masculino","Acessórios de moda",229.3389,10,114.66945,2314.984,"02/07/2019","16:48","Carteira eletrônica",21.595,8.2
"15","829-34-3910","A","Yangon","Normal","Feminino","Saúde e beleza",379.0278,10,189.5139,3825.968,"3/29/2019","19:21","Dinheiro",35.69,5.7
"16","299-46-1805","B","Mandalay","Membro","Feminino","Viagens e sports",497.6532,6,149.29596,3014.0352,"1/15/2019","16:19","Dinheiro",28.116,4.5
"17","656-95-9349","A","Yangon","Membro","Feminino","Saúde e beleza",366.0183,7,1281.06405,2803.3831,"03/11/2019","11:03","Cartão de crédito",241.255,4.6
"18","765-26-6951","A","Yangon","Normal","Masculino","Viagens e sports",385.5591,6,115.66773,2335.1376,"01/01/2019","10:39","Cartão de crédito",21.783,6.9
"19","329-62-1586","A","Yangon","Normal","Masculino","Acessórios de moda",290.2977,3,435.44655,952.8981,"1/21/2019","18:00","Cartão de crédito",82.005,8.6
"20","319-50-3348","B","Mandalay","Normal","Feminino","Lar e estilo de vida",213.993,2,21.3993,432.016,"03/11/2019","15:30","Carteira eletrônica",4.03,4.4
"21","300-71-4605","C","Naypyitaw","Membro","Masculino","Acessórios eletrônicos",456.8724,5,114.2181,2305.872,"2/25/2019","11:24","Carteira eletrônica",21.51,4.8
"22","371-85-5789","B","Mandalay","Normal","Masculino","Saúde e beleza",467.1738,3,70.07607,1414.7184,"03/05/2019","10:40","Carteira eletrônica",13.197,5.1
"23","273-16-6619","B","Mandalay","Normal","Masculino","Lar e estilo de vida",176.292,2,17.6292,355.904,"3/15/2019","12:20","Cartão de crédito",3.32,4.4
"24","636-48-8204","A","Yangon","Normal","Masculino","Acessórios eletrônicos",183.5136,5,45.8784,926.208,"2/17/2019","11:15","Carteira eletrônica",8.64,9.9
"25","549-59-1358","A","Yangon","Membro","Masculino","Viagens e sports",470.6253,3,705.93795,1544.8209,"03/02/2019","17:36","Carteira eletrônica",132.945,6
"26","227-03-5010","A","Yangon","Membro","Feminino","Lar e estilo de vida",279.2529,8,111.70116,2255.0592,"3/22/2019","19:20","Cartão de crédito",21.036,8.5
"27","649-29-6775","B","Mandalay","Normal","Masculino","Acessórios de moda",177.9912,1,8.89956,179.6672,"02/08/2019","15:31","Dinheiro",1.676,6.7
"28","189-17-4241","A","Yangon","Normal","Feminino","Acessórios de moda",465.5277,2,46.55277,939.8224,"03/10/2019","12:17","Cartão de crédito",8.767,7.7
"29","145-94-9061","B","Mandalay","Normal","Feminino","Acessórios de moda",469.1916,5,117.2979,2368.048,"1/25/2019","19:48","Dinheiro",22.09,9.6
"30","848-62-7243","A","Yangon","Normal","Masculino","Saúde e beleza",132.1659,9,594.74655,1301.4981,"3/15/2019","15:36","Dinheiro",112.005,7.4
"31","871-79-8483","B","Mandalay","Normal","Masculino","Acessórios de moda",499.8303,5,1249.57575,2734.4765,"2/25/2019","19:39","Cartão de crédito",235.325,4.8
"32","149-71-6266","B","Mandalay","Membro","Masculino","Viagens e sports",414.5517,9,1865.48265,4082.2803,"1/28/2019","12:43","Dinheiro",351.315,4.5
"33","640-49-2076","B","Mandalay","Normal","Masculino","Viagens e sports",444.8718,8,177.94872,3592.4864,"01/10/2019","14:49","Dinheiro",33.512,5.1
"34","595-11-5460","A","Yangon","Normal","Masculino","Saúde e beleza",512.8398,2,51.28398,1035.3376,"3/15/2019","10:12","Cartão de crédito",9.658,5.1
"35","183-56-6882","C","Naypyitaw","Membro","Feminino","Acessórios de moda",527.9202,4,105.58404,2131.5648,"02/06/2019","10:42","Carteira eletrônica",19.884,7.5
"36","232-16-2483","C","Naypyitaw","Membro","Feminino","Viagens e sports",361.7172,1,18.08586,365.1232,"01/07/2019","12:28","Carteira eletrônica",3.406,6.8
"37","129-29-8530","A","Yangon","Membro","Masculino","Viagens e sports",332.5122,5,83.12805,1678.216,"03/10/2019","19:15","Carteira eletrônica",15.655,7
"38","272-65-1806","A","Yangon","Normal","Feminino","Acessórios eletrônicos",323.2728,9,145.47276,2936.8512,"1/15/2019","17:17","Carteira eletrônica",27.396,4.7
"39","333-73-7901","C","Naypyitaw","Normal","Feminino","Saúde e beleza",291.6252,8,116.65008,2354.9696,"3/23/2019","13:24","Carteira eletrônica",21.968,7.6
"40","777-82-7220","B","Mandalay","Membro","Masculino","Lar e estilo de vida",159.9372,8,63.97488,1291.5456,"03/03/2019","13:01","Dinheiro",12.048,7.7
"41","280-35-5823","B","Mandalay","Membro","Feminino","Lar e estilo de vida",460.4832,1,23.02416,464.8192,"1/17/2019","18:45","Carteira eletrônica",4.336,7.9
"42","554-53-8700","C","Naypyitaw","Membro","Masculino","Lar e estilo de vida",297.9441,2,29.79441,601.4992,"02/02/2019","10:11","Dinheiro",5.611,6.3
"43","354-25-5821","B","Mandalay","Membro","Feminino","Viagens e sports",367.0272,6,110.10816,2222.8992,"02/08/2019","13:03","Dinheiro",20.736,5.6
"44","228-96-1411","C","Naypyitaw","Membro","Feminino","Acessórios de moda",524.097,8,209.6388,4232.256,"03/04/2019","20:39","Dinheiro",39.48,7.6
"45","617-15-4209","C","Naypyitaw","Membro","Masculino","Saúde e beleza",81.6147,2,8.16147,164.7664,"3/16/2019","19:47","Dinheiro",1.537,7.2
"46","132-32-9879","B","Mandalay","Membro","Feminino","Acessórios eletrônicos",498.9276,4,99.78552,2014.5024,"03/09/2019","18:00","Dinheiro",18.792,9.5
"47","370-41-7321","B","Mandalay","Membro","Masculino","Saúde e beleza",301.0239,9,1354.60755,2964.3201,"2/27/2019","17:24","Cartão de crédito",255.105,8.4
"48","727-46-3608","B","Mandalay","Membro","Feminino","Acessórios de moda",106.2531,9,478.13895,1046.3229,"02/06/2019","15:47","Carteira eletrônica",90.045,4.1
"49","669-54-1719","B","Mandalay","Membro","Masculino","Acessórios eletrônicos",100.5183,6,30.15549,608.7888,"02/10/2019","12:45","Cartão de crédito",5.679,8.1
"50","574-22-5561","C","Naypyitaw","Membro","Feminino","Acessórios de moda",438.7653,10,219.38265,4428.968,"3/19/2019","17:08","Carteira eletrônica",41.315,7.9
"51","326-78-5178","C","Naypyitaw","Membro","Masculino","Acessórios de moda",485.334,7,169.8669,3429.328,"02/03/2019","10:19","Dinheiro",31.99,9.5
"52","162-48-8011","A","Yangon","Membro","Feminino","Acessórios de moda",236.7729,5,591.93225,1295.3395,"02/10/2019","15:10","Dinheiro",111.475,8.5
"53","616-24-2851","B","Mandalay","Membro","Feminino","Acessórios de moda",94.8897,4,18.97794,383.1328,"3/22/2019","14:42","Carteira eletrônica",3.574,6.5
"54","778-71-5554","C","Naypyitaw","Membro","Masculino","Acessórios de moda",81.9333,1,4.096665,82.7048,"1/25/2019","15:46","Cartão de crédito",0.7715,6.1
"55","242-55-6721","B","Mandalay","Normal","Masculino","Lar e estilo de vida",85.8096,2,8.58096,173.2352,"03/07/2019","11:49","Carteira eletrônica",1.616,6.5
"56","399-46-5918","C","Naypyitaw","Normal","Feminino","Acessórios eletrônicos",456.5538,8,182.62152,3686.8224,"2/28/2019","19:01","Dinheiro",34.392,8.2
"57","106-35-6779","A","Yangon","Membro","Masculino","Lar e estilo de vida",235.4454,2,23.54454,475.3248,"3/27/2019","11:26","Dinheiro",4.434,5.8
"58","635-40-6220","A","Yangon","Normal","Masculino","Saúde e beleza",475.776,8,190.3104,3842.048,"02/07/2019","11:28","Carteira eletrônica",35.84,6.6
"59","817-48-8732","A","Yangon","Membro","Feminino","Lar e estilo de vida",384.1785,10,192.08925,3877.96,"1/20/2019","15:55","Dinheiro",36.175,5.4
"60","120-06-4233","C","Naypyitaw","Normal","Masculino","Acessórios eletrônicos",162.5391,6,48.76173,984.4176,"03/12/2019","20:36","Dinheiro",9.183,9.3
"61","285-68-5083","C","Naypyitaw","Membro","Feminino","Viagens e sports",131.3694,3,19.70541,397.8192,"2/15/2019","17:47","Cartão de crédito",3.711,10
"62","803-83-5989","C","Naypyitaw","Normal","Masculino","Lar e estilo de vida",295.9263,6,88.77789,1792.2768,"2/24/2019","10:55","Carteira eletrônica",16.719,7
"63","347-34-2234","B","Mandalay","Membro","Feminino","Viagens e sports",292.4217,9,1315.89765,2879.6103,"02/03/2019","13:40","Carteira eletrônica",247.815,10
"64","199-75-8169","A","Yangon","Membro","Masculino","Viagens e sports",83.9511,10,41.97555,847.416,"03/06/2019","12:27","Cartão de crédito",7.905,8.6
"65","853-23-2453","B","Mandalay","Membro","Masculino","Saúde e beleza",402.1794,4,80.43588,1623.8656,"2/14/2019","14:35","Dinheiro",15.148,7.6
"66","877-22-3308","A","Yangon","Membro","Masculino","Saúde e beleza",84.2697,10,42.13485,850.632,"3/13/2019","16:40","Dinheiro",7.935,5.8
"67","838-78-4295","C","Naypyitaw","Normal","Feminino","Saúde e beleza",177.7257,2,17.77257,358.7984,"02/10/2019","15:43","Carteira eletrônica",3.347,6.7
"68","109-28-2512","B","Mandalay","Membro","Feminino","Acessórios de moda",518.3091,6,155.49273,3139.1376,"01/07/2019","15:01","Carteira eletrônica",29.283,9.9
"69","232-11-3025","A","Yangon","Normal","Masculino","Viagens e sports",418.2687,10,209.13435,4222.072,"1/24/2019","10:04","Dinheiro",39.385,6.4
"70","382-03-4532","A","Yangon","Membro","Feminino","Saúde e beleza",97.3323,1,4.866615,98.2488,"02/02/2019","18:50","Dinheiro",0.9165,4.3
"71","393-65-2792","C","Naypyitaw","Normal","Masculino","Acessórios de moda",475.1388,10,237.5694,4796.128,"01/06/2019","12:46","Cartão de crédito",44.74,9.6
"72","796-12-2025","C","Naypyitaw","Normal","Masculino","Acessórios de moda",329.8572,10,164.9286,3329.632,"02/11/2019","16:19","Dinheiro",31.06,5.9
"73","510-95-6347","B","Mandalay","Membro","Feminino","Acessórios de moda",257.6412,3,38.64618,780.2016,"03/05/2019","18:17","Carteira eletrônica",7.278,4
"74","841-35-6630","C","Naypyitaw","Normal","Feminino","Acessórios eletrônicos",403.0821,6,120.92463,2441.2656,"03/09/2019","18:21","Dinheiro",22.773,8.7
"75","287-21-9091","A","Yangon","Normal","Masculino","Lar e estilo de vida",396.4977,9,1784.23965,3904.4943,"1/22/2019","10:55","Carteira eletrônica",336.015,9.4
"76","732-94-0499","C","Naypyitaw","Normal","Feminino","Acessórios eletrônicos",221.1615,10,110.58075,2232.44,"1/13/2019","17:04","Cartão de crédito",20.825,5.4
"77","263-10-3913","C","Naypyitaw","Membro","Masculino","Acessórios de moda",260.4024,9,117.18108,2365.6896,"01/09/2019","14:20","Cartão de crédito",22.068,8.6
"78","381-20-0914","A","Yangon","Membro","Feminino","Acessórios de moda",106.2531,9,478.13895,1046.3229,"01/12/2019","15:48","Cartão de crédito",90.045,5.7
"79","829-49-1914","C","Naypyitaw","Membro","Feminino","Acessórios de moda",415.8261,10,207.91305,4197.416,"03/05/2019","16:24","Carteira eletrônica",39.155,6.6
"80","756-01-7507","C","Naypyitaw","Normal","Feminino","Saúde e beleza",108.2178,5,27.05445,546.184,"1/22/2019","18:56","Dinheiro",5.095,6
"81","870-72-4431","C","Naypyitaw","Normal","Feminino","Saúde e beleza",526.6989,6,158.00967,3189.9504,"1/21/2019","14:42","Cartão de crédito",29.757,5.5
"82","847-38-7188","B","Mandalay","Normal","Feminino","Acessórios de moda",513.3708,3,77.00562,1554.6144,"1/26/2019","19:56","Carteira eletrônica",14.502,6.4
"83","480-63-2856","C","Naypyitaw","Normal","Masculino","Acessórios de moda",102.2175,8,40.887,825.44,"1/23/2019","18:37","Carteira eletrônica",7.7,6.6
"84","787-56-0757","C","Naypyitaw","Membro","Feminino","Acessórios de moda",426.7116,4,85.34232,1722.9184,"2/23/2019","18:45","Cartão de crédito",16.072,8.3
"85","360-39-5055","C","Naypyitaw","Membro","Masculino","Viagens e sports",259.7121,5,649.28025,1420.8355,"03/09/2019","10:17","Dinheiro",122.275,6.6
"86","730-50-9884","C","Naypyitaw","Normal","Feminino","Viagens e sports",441.0486,7,154.36701,3116.4112,"03/05/2019","14:31","Carteira eletrônica",29.071,4
"87","362-58-8315","C","Naypyitaw","Normal","Masculino","Acessórios de moda",406.3212,5,101.5803,2050.736,"3/25/2019","10:23","Dinheiro",19.13,9.9
"88","633-44-8566","A","Yangon","Membro","Masculino","Acessórios de moda",262.2078,7,91.77273,1852.7376,"3/27/2019","20:35","Cartão de crédito",17.283,7.3
"89","504-35-8843","A","Yangon","Normal","Masculino","Viagens e sports",225.5157,1,112.75785,246.7507,"01/02/2019","16:57","Dinheiro",21.235,5.7
"90","318-68-5053","B","Mandalay","Normal","Feminino","Saúde e beleza",408.8169,6,122.64507,2475.9984,"2/27/2019","17:55","Dinheiro",23.097,6.1
"91","565-80-5980","C","Naypyitaw","Membro","Feminino","Lar e estilo de vida",251.5878,4,50.31756,1015.8272,"1/23/2019","10:25","Dinheiro",9.476,7.1
"92","225-32-0908","C","Naypyitaw","Normal","Feminino","Viagens e sports",238.2066,10,119.1033,2404.496,"1/26/2019","19:54","Carteira eletrônica",22.43,8.2
"93","873-51-0671","A","Yangon","Membro","Feminino","Viagens e sports",116.7138,7,40.84983,824.6896,"01/10/2019","16:42","Carteira eletrônica",7.693,5.1
"94","152-08-9985","B","Mandalay","Membro","Masculino","Saúde e beleza",341.7516,9,153.78822,3104.7264,"03/12/2019","12:09","Cartão de crédito",28.962,8.6
"95","512-91-0811","C","Naypyitaw","Normal","Masculino","Saúde e beleza",476.5725,1,238.28625,521.4475,"02/06/2019","20:05","Cartão de crédito",44.875,6.6
"96","594-34-4444","A","Yangon","Normal","Masculino","Acessórios eletrônicos",515.9196,1,25.79598,520.7776,"03/08/2019","20:38","Carteira eletrônica",4.858,7.2
"97","766-85-7061","B","Mandalay","Normal","Masculino","Saúde e beleza",466.5897,10,233.29485,4709.832,"3/29/2019","10:25","Carteira eletrônica",43.935,5.1
"98","871-39-9221","C","Naypyitaw","Normal","Feminino","Acessórios eletrônicos",66.1095,6,19.83285,400.392,"02/09/2019","13:11","Dinheiro",3.735,4.1
"99","865-92-6136","A","Yangon","Normal","Masculino","Acessórios de moda",280.1025,3,420.15375,919.4325,"3/23/2019","10:16","Carteira eletrônica",79.125,9.3
"100","733-01-9107","B","Mandalay","Normal","Masculino","Lar e estilo de vida",439.137,6,131.7411,2659.632,"03/05/2019","18:14","Dinheiro",24.81,7.4
"101","163-56-7055","C","Naypyitaw","Membro","Masculino","Acessórios de moda",258.6501,1,129.32505,283.0051,"3/26/2019","19:20","Dinheiro",24.355,4.1
"102","189-98-2939","C","Naypyitaw","Normal","Masculino","Acessórios de moda",417.1005,9,1876.95225,4107.3795,"03/01/2019","13:22","Dinheiro",353.475,7.2
"103","551-21-3069","C","Naypyitaw","Normal","Feminino","Acessórios eletrônicos",122.5017,9,551.25765,1206.3303,"02/01/2019","11:27","Dinheiro",103.815,4.9
"104","212-62-1842","A","Yangon","Normal","Masculino","Acessórios de moda",309.3606,6,92.80818,1873.6416,"3/28/2019","16:44","Dinheiro",17.478,9.9
"105","716-39-1409","B","Mandalay","Normal","Masculino","Saúde e beleza",161.1585,7,564.05475,1234.3345,"3/19/2019","18:19","Dinheiro",106.225,8
"106","704-48-3927","A","Yangon","Membro","Masculino","Acessórios eletrônicos",470.8377,10,235.41885,4752.712,"01/12/2019","14:50","Carteira eletrônica",44.335,7.3
"107","628-34-3388","C","Naypyitaw","Normal","Masculino","Acessórios de moda",145.3878,6,43.61634,880.5408,"01/05/2019","20:54","Cartão de crédito",8.214,7.9
"108","630-74-5166","A","Yangon","Normal","Masculino","Viagens e sports",329.9103,6,98.97309,1998.1008,"3/22/2019","20:19","Dinheiro",18.639,7.4
"109","588-01-7461","C","Naypyitaw","Normal","Feminino","Acessórios de moda",180.4338,9,81.19521,1639.1952,"3/24/2019","10:43","Dinheiro",15.291,4.2
"110","861-77-0145","C","Naypyitaw","Membro","Masculino","Acessórios eletrônicos",435.2607,10,217.63035,4393.592,"03/03/2019","14:30","Dinheiro",40.985,9.2
"111","479-26-8945","B","Mandalay","Membro","Feminino","Viagens e sports",87.5619,2,8.75619,176.7728,"02/05/2019","11:32","Carteira eletrônica",1.649,4.6
"112","210-67-5886","C","Naypyitaw","Membro","Feminino","Saúde e beleza",521.4951,3,782.24265,1711.8003,"02/05/2019","10:41","Cartão de crédito",147.315,7.8
"113","227-78-1148","B","Mandalay","Normal","Feminino","Acessórios de moda",386.7804,7,135.37314,2732.9568,"2/15/2019","12:44","Dinheiro",25.494,8.4
"114","645-44-1170","A","Yangon","Membro","Masculino","Lar e estilo de vida",308.3517,9,1387.58265,3036.4803,"1/19/2019","20:07","Carteira eletrônica",261.315,4.3
"115","237-01-6122","C","Naypyitaw","Membro","Feminino","Lar e estilo de vida",428.9949,9,1930.47705,4224.5091,"02/01/2019","20:31","Cartão de crédito",363.555,9.5
"116","225-98-1496","C","Naypyitaw","Normal","Feminino","Acessórios de moda",143.4762,3,21.52143,434.4816,"03/02/2019","13:01","Cartão de crédito",4.053,7.1
"117","291-32-1427","B","Mandalay","Membro","Masculino","Acessórios de moda",116.5014,5,29.12535,587.992,"03/05/2019","12:29","Carteira eletrônica",5.485,5.3
"118","659-65-8956","B","Mandalay","Membro","Masculino","Acessórios de moda",272.7216,1,13.63608,275.2896,"1/16/2019","15:26","Carteira eletrônica",2.568,5.2
"119","642-32-2990","A","Yangon","Normal","Feminino","Acessórios de moda",58.1976,10,29.0988,587.456,"02/02/2019","20:48","Carteira eletrônica",5.48,6
"120","378-24-2715","B","Mandalay","Normal","Masculino","Lar e estilo de vida",283.7664,2,28.37664,572.8768,"1/20/2019","20:38","Carteira eletrônica",5.344,4.1
